Time,Motor Bus Volts 0,Motor Bus Volts 1,TempLoc 0 ,TempLoc 1 ,status 0,status 1,status 2,status 3,Gmb Pos 0,Gmb Pos 1,Gmb Pos 2,Gmb Pos 3,Gmb Pos ERR 0,Gmb Pos ERR 1,Gmb Pos ERR 2,Gmb Pos ERR 3,Gmb Pos CMD 0,Gmb Pos CMD 1,Gmb Pos CMD 2,Gmb Pos CMD 3,Gmb Rate 0,Gmb Rate 1,Gmb Rate 2,Gmb Rate 3,Gmb Rate CMD 0,Gmb Rate CMD 1,Gmb Rate CMD 2,Gmb Rate CMD 3,Gmb Current 0,Gmb Current 1,Gmb Current 2,Gmb Current 3,Fly Rate 0,Fly Rate 1,Fly Rate 2,Fly Rate 3,Fly Rate CMD 0,Fly Rate CMD 1,Fly Rate CMD 2,Fly Rate CMD 3,Fly Current 0,Fly Current 1,Fly Current 2,Fly Current 3,TempPri 0,TempPri 1,TempPri 2,TempPri 3,TempAux 0,TempAux 1,TempAux 2,TempAux 3,Rate 0,Rate 1,Rate 2,Rate 3
Thu Jul 31 23:49:27 2014,12.0086,12.0181,2335,2339,5.03317e+07,3.35544e+07,16,3.35544e+07,0.00175781,27.9092,-0.0496582,-0.070752,0.00175781,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,12.1025,6.57148,6.62622,6.3824,0,0,0,0,6000,0,0,0,261.642,2.9468,4.59814,3.57439,1320,1323,4095,4095,1323,1320,4095,2048,0,0,0,0
Thu Jul 31 23:49:28 2014,12.0086,12.0181,2315,2316,5.03317e+07,3.35544e+07,16,3.35544e+07,0.00175781,27.9092,-0.0496582,-0.070752,0.00175781,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,9.11619,5.28536,5.34971,5.21374,782.316,0,0,0,6000,0,0,0,238.238,2.6182,4.12798,3.2227,1564,1564,4095,4095,1564,1564,4095,2048,0,0,0,0
Thu Jul 31 23:49:29 2014,12.0086,12.0181,2315,2315,5.03317e+07,3.35544e+07,16,16,0.00175781,27.9092,-0.0496582,-0.070752,0.00175781,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,9.51014,5.43172,5.56485,5.41357,812.84,0,0,0,6000,0,0,0,232.13,2.54765,3.99818,3.12909,1567,1567,4095,4095,1567,1564,4095,2048,0,0,0,0
Thu Jul 31 23:49:31 2014,12.0086,12.0181,2315,2315,5.03317e+07,3.35544e+07,16,16,0.00175781,27.9092,-0.0496582,-0.070752,0.00175781,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,12.3758,6.5922,6.68448,6.45702,843.923,0,0,0,6000,0,0,0,241.948,2.66751,4.19698,3.27814,1567,1567,4095,4095,1567,1567,4095,2048,0,0,0,0
Thu Jul 31 23:49:32 2014,12.0086,12.0181,2315,2315,5.03317e+07,3.35544e+07,16,16,0.00175781,27.9092,-0.0496582,-0.070752,0.00175781,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,10.1306,5.70028,5.78356,5.62278,875.091,0,0,0,6000,0,0,0,244.948,2.6963,4.23985,3.31916,1575,1576,4095,4095,1575,1576,4095,2048,0,0,0,0
Thu Jul 31 23:49:33 2014,12.0181,12.0181,2312,2312,5.03317e+07,3.35544e+07,16,16,0.00175781,27.9092,-0.0496582,-0.070752,0.00175781,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,8.74992,5.13399,5.12318,4.98606,906.365,0,0,0,6000,0,0,0,232.952,2.5514,4.0127,3.15117,1591,1592,4095,4095,1591,1592,4095,2048,0,0,0,0
Thu Jul 31 23:49:34 2014,12.0086,12.0181,2312,2312,5.03317e+07,3.35544e+07,16,16,0.00175781,27.9092,-0.0496582,-0.070752,0.00175781,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,10.0522,5.62978,5.73159,5.572,936.92,0,0,0,6000,0,0,0,229.125,2.51145,3.92545,3.08257,1607,1607,4095,4095,1604,1607,4095,2048,0,0,0,0
Thu Jul 31 23:49:35 2014,12.0086,12.0181,2312,2312,5.03317e+07,3.35544e+07,16,16,0.00175781,27.9092,-0.0496582,-0.070752,0.00175781,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,12.4531,6.62066,6.7024,6.47673,968.195,0,0,0,6000,0,0,0,241.961,2.67491,4.20042,3.2763,1619,1620,4095,4095,1619,1620,4095,2048,0,0,0,0
Thu Jul 31 23:49:36 2014,12.0086,12.0181,2311,2312,5.03317e+07,3.35544e+07,16,16,0.00175781,27.9092,-0.0496582,-0.070752,0.00175781,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,9.26594,5.31615,5.3906,5.22099,998.411,0,0,0,6000,0,0,0,240.104,2.64256,4.15534,3.24063,1628,1628,4095,4095,1627,1628,4095,2048,0,0,0,0
Thu Jul 31 23:49:37 2014,12.0181,12.0181,2311,2311,5.03317e+07,3.35544e+07,16,16,0.00175781,27.9092,-0.0496582,-0.070752,0.00175781,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,8.37349,4.93648,4.96512,4.80632,1029.01,0,0,0,6000,0,0,0,226.77,2.50225,3.88727,3.04389,1644,1644,4095,4095,1644,1644,4095,2048,0,0,0,0
Thu Jul 31 23:49:38 2014,12.0465,12.0181,2316,2312,5.03317e+07,3.35544e+07,16,16,0.00175781,27.9092,-0.0496582,-0.070752,0.00175781,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,9.99637,5.6046,5.70597,5.53054,1060.52,0,0,0,6000,0,0,0,224.296,2.45727,3.83035,2.9958,1664,1664,4095,4095,1663,1663,4095,2048,0,0,0,0
Thu Jul 31 23:49:39 2014,12.0086,12.0181,2311,2311,5.03317e+07,3.35544e+07,16,16,0.00175781,27.9092,-0.0496582,-0.070752,0.00175781,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,12.5243,6.63989,6.70322,6.4714,1091.22,0,0,0,6000,0,0,0,237.961,2.63426,4.12081,3.21395,1671,1672,4095,4095,1671,1671,4095,2048,0,0,0,0
Thu Jul 31 23:49:40 2014,12.0181,12.0181,2308,2308,5.03317e+07,3.35544e+07,16,16,0.00175781,27.9092,-0.0496582,-0.070752,0.00175781,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,9.21617,5.30003,5.34544,5.20412,1121.54,0,0,0,6000,0,0,0,238.232,2.6184,4.11559,3.21892,1676,1676,4095,4095,1675,1675,4095,2048,0,0,0,0
Thu Jul 31 23:49:41 2014,12.0086,12.0181,2308,2308,1.67772e+07,16,3.35544e+07,3.35544e+07,0.00131836,27.9088,-0.0496582,-0.0703125,0.00131836,27.9088,-0.0496582,-0.0703125,0,0,0,0,0,0,0,0,-0,-0,-0,-0,8.07924,4.78353,4.74606,4.62358,1151.45,0,0,0,6000,0,0,0,222.666,2.45579,3.81486,2.97497,1680,1680,4095,4095,1679,1679,4095,2048,0,0,0,0
Thu Jul 31 23:49:42 2014,12.056,12.0181,2316,2308,5.03317e+07,3.35544e+07,16,16,0.00175781,27.9092,-0.0496582,-0.070752,0.00175781,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,10.4466,5.8092,5.88013,5.69782,1183.94,0,0,0,6000,0,0,0,222.949,2.44159,3.8104,2.9655,1683,1683,4095,4095,1683,1680,4095,2048,0,0,0,0
Thu Jul 31 23:49:43 2014,12.0086,12.0181,2308,2307,5.03317e+07,3.35544e+07,16,16,0.00175781,27.9092,-0.0496582,-0.070752,0.00175781,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,12.1295,6.50202,6.55925,6.32629,1215.04,0,0,0,6000,0,0,0,238.098,2.62945,4.12716,3.2007,1684,1684,4095,4095,1684,1683,4095,2048,0,0,0,0
Thu Jul 31 23:49:44 2014,12.0181,12.0181,2307,2307,1.67772e+07,3.35544e+07,16,16,0.00131836,27.9092,-0.0496582,-0.070752,0.00131836,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,8.3602,4.93063,4.8826,4.76086,1244.92,0,0,0,6000,0,0,0,231.518,2.53938,3.97741,3.09515,1684,1687,4095,4095,1684,1684,4095,2048,0,0,0,0
Thu Jul 31 23:49:45 2014,11.9707,12.0181,2296,2304,5.03317e+07,3.35544e+07,16,16,0.00175781,27.9092,-0.0496582,-0.070752,0.00175781,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,7.92146,4.69969,4.62024,4.5072,1276.55,0,0,0,6000,0,0,0,216.036,2.36562,3.66991,2.84881,1687,1687,4095,4095,1687,1687,4095,2048,0,0,0,0
Thu Jul 31 23:49:46 2014,12.0086,12.0181,2304,2307,1.67772e+07,3.35544e+07,16,16,0.00131836,27.9092,-0.0496582,-0.070752,0.00131836,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,11.262,6.14679,6.19504,5.99699,1307.67,0,0,0,6000,0,0,0,222.436,2.44665,3.78847,2.94263,1687,1688,4095,4095,1688,1687,4095,2048,0,0,0,0
Thu Jul 31 23:49:47 2014,12.0086,12.0181,2303,2304,5.03317e+07,3.35544e+07,16,16,0.00131836,27.9092,-0.0496582,-0.070752,0.00131836,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,11.5638,6.25786,6.32909,6.1333,1338.56,0,0,0,6000,0,0,0,236.999,2.61183,4.09403,3.18042,1687,1688,4095,4095,1688,1687,4095,2048,0,0,0,0
Thu Jul 31 23:49:48 2014,12.0181,12.0465,2303,2304,1.67772e+07,3.35544e+07,16,16,0.00131836,27.9092,-0.0496582,-0.070752,0.00131836,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,7.8801,4.66529,4.58774,4.46576,1369.58,0,0,0,6000,0,0,0,225.288,2.47484,3.84004,2.99081,1687,1688,4095,4095,1691,1688,4095,2048,0,0,0,0
Thu Jul 31 23:49:49 2014,12.0181,12.0465,2304,2304,1.67772e+07,3.35544e+07,16,16,0.00131836,27.9092,-0.0496582,-0.070752,0.00131836,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,7.84207,4.64751,4.57319,4.48706,1400.81,0,0,0,6000,0,0,0,210.84,2.31779,3.5543,2.74191,1688,1688,4095,4095,1691,1688,4095,2048,0,0,0,0
Thu Jul 31 23:49:50 2014,12.0086,12.0181,2303,2304,1.67772e+07,3.35544e+07,16,16,0.00131836,27.9092,-0.0496582,-0.070752,0.00131836,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,11.7443,6.3154,6.3952,6.17687,1430.9,0,0,0,6000,0,0,0,222.001,2.42923,3.77719,2.92071,1688,1691,4095,4095,1691,1688,4095,2048,0,0,0,0
Thu Jul 31 23:49:51 2014,12.0181,12.0181,2303,2303,1.67772e+07,3.35544e+07,16,16,0.00131836,27.9092,-0.0496582,-0.070752,0.00131836,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,10.8336,5.96329,6.05099,5.84914,1462.58,0,0,0,6000,0,0,0,234.995,2.57936,4.04855,3.13478,1688,1691,4095,4095,1691,1688,4095,2048,0,0,0,0
Thu Jul 31 23:49:52 2014,12.0086,12.0465,2300,2300,1.67772e+07,3.35544e+07,16,16,0.00131836,27.9092,-0.0496582,-0.070752,0.00131836,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,7.56682,4.51874,4.33182,4.22678,1494.06,0,0,0,6000,0,0,0,219.793,2.40868,3.73216,2.87971,1688,1691,4095,4095,1691,1691,4095,2048,0,0,0,0
Thu Jul 31 23:49:53 2014,12.0181,12.0181,2300,2300,1.67772e+07,3.35544e+07,16,16,0.00131836,27.9092,-0.0496582,-0.070752,0.00131836,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,7.76212,4.61623,4.48555,4.37637,1524.45,0,0,0,6000,0,0,0,206.12,2.26756,3.4548,2.66342,1691,1691,4095,4095,1691,1691,4095,2048,0,0,0,0
Thu Jul 31 23:49:54 2014,12.0086,12.0181,2303,2303,5.03317e+07,3.35544e+07,16,16,0.00175781,27.9092,-0.0496582,-0.070752,0.00175781,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,11.8848,6.37755,6.42843,6.21423,1552.46,0,0,0,6000,0,0,0,220.368,2.4199,3.73187,2.88354,1691,1691,4095,4095,1691,1691,4095,2048,0,0,0,0
Thu Jul 31 23:49:55 2014,12.0086,12.0181,2299,2300,1.67772e+07,3.35544e+07,16,16,0.00131836,27.9092,-0.0496582,-0.070752,0.00131836,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,10.2959,5.73485,5.79669,5.62906,1586.07,0,0,0,6000,0,0,0,232.471,2.54614,3.98451,3.07219,1691,1691,4095,4095,1691,1691,4095,2048,0,0,0,0
Thu Jul 31 23:49:56 2014,12.0181,12.0465,2299,2299,5.03317e+07,3.35544e+07,16,16,0.00175781,27.9092,-0.0496582,-0.070752,0.00175781,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,7.3041,4.39407,4.11953,4.02522,1616.18,0,0,0,6000,0,0,0,214.955,2.34979,3.63221,2.79391,1691,1692,4095,4095,1692,1691,4095,2048,0,0,0,0
Thu Jul 31 23:49:57 2014,12.0181,12.0181,2299,2299,1.67772e+07,3.35544e+07,16,16,0.00131836,27.9092,-0.0496582,-0.070752,0.00131836,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,7.71825,4.57031,4.43854,4.31809,1646.73,0,0,0,6000,0,0,0,202.025,2.22071,3.3523,2.55836,1691,1692,4095,4095,1692,1691,4095,2048,0,0,0,0
Thu Jul 31 23:49:58 2014,12.0086,12.0181,2299,2299,5.03317e+07,3.35544e+07,16,16,0.00175781,27.9092,-0.0496582,-0.070752,0.00175781,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,11.9379,6.35626,6.43464,6.20451,1678.1,0,0,0,6000,0,0,0,215.592,2.36796,3.64051,2.79283,1692,1692,4095,4095,1692,1692,4095,2048,0,0,0,0
Thu Jul 31 23:49:59 2014,12.0181,12.0465,2299,2299,1.67772e+07,3.35544e+07,16,16,0.00131836,27.9092,-0.0496582,-0.070752,0.00131836,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,10.685,5.85905,5.93355,5.74658,1710.93,0,0,0,6000,0,0,0,229.704,2.53184,3.92343,3.02744,1692,1692,4095,4095,1692,1692,4095,2048,0,0,0,0
Thu Jul 31 23:50:00 2014,12.0181,12.0465,2296,2296,1.67772e+07,3.35544e+07,16,16,0.00131836,27.9092,-0.0496582,-0.070752,0.00131836,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,7.24264,4.32641,4.04237,3.94492,1740.47,0,0,0,6000,0,0,0,214.63,2.36862,3.60123,2.76915,1692,1692,4095,4095,1692,1692,4095,2048,0,0,0,0
Thu Jul 31 23:50:01 2014,12.0181,12.0181,2296,2296,1.67772e+07,3.35544e+07,16,16,0.00131836,27.9092,-0.0496582,-0.070752,0.00131836,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,7.0942,4.23549,3.984,3.87244,1770.87,0,0,0,6000,0,0,0,197.864,2.18759,3.26717,2.48551,1692,1692,4095,4095,1692,1692,4095,2048,0,0,0,0
Thu Jul 31 23:50:02 2014,12.0086,12.0181,2296,2296,5.03317e+07,3.35544e+07,16,16,0.00175781,27.9092,-0.0496582,-0.070752,0.00175781,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,10.6285,5.83139,5.92272,5.71579,1802.08,0,0,0,6000,0,0,0,206.709,2.25727,3.4283,2.62944,1695,1695,4095,4095,1695,1695,4095,2048,0,0,0,0
Thu Jul 31 23:50:03 2014,12.0181,12.0181,2299,2296,1.67772e+07,3.35544e+07,16,16,0.00131836,27.9092,-0.0496582,-0.070752,0.00131836,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,11.7392,6.26909,6.36368,6.1411,1833.19,0,0,0,6000,0,0,0,225.675,2.48604,3.83916,2.95671,1695,1695,4095,4095,1695,1695,4095,2048,0,0,0,0
Thu Jul 31 23:50:04 2014,12.0181,12.0181,2295,2295,1.67772e+07,3.35544e+07,16,16,0.00131836,27.9092,-0.0496582,-0.070752,0.00131836,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,7.5273,4.47306,4.23523,4.12388,1863.56,0,0,0,6000,0,0,0,217.93,2.39113,3.66217,2.81198,1695,1695,4095,4095,1695,1695,4095,2048,0,0,0,0
Thu Jul 31 23:50:05 2014,12.0181,12.0465,2295,2295,5.03317e+07,3.35544e+07,16,16,0.00175781,27.9092,-0.0496582,-0.070752,0.00175781,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,6.7541,4.05101,3.72048,3.63891,1895.13,0,0,0,6000,0,0,0,197.773,2.18922,3.27106,2.4933,1703,1703,4095,4095,1703,1703,4095,2048,0,0,0,0
Thu Jul 31 23:50:06 2014,12.0181,12.0086,2299,2291,1.67772e+07,3.35544e+07,16,16,0.00131836,27.9092,-0.0496582,-0.070752,0.00131836,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,8.51099,4.9172,4.85851,4.71592,1925.63,0,0,0,6000,0,0,0,194.66,2.14526,3.196,2.43279,1719,1720,4095,4095,1720,1719,4095,2048,0,0,0,0
Thu Jul 31 23:50:07 2014,12.0086,12.0181,2295,2295,5.03317e+07,3.35544e+07,16,16,0.00175781,27.9092,-0.0496582,-0.070752,0.00175781,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,12.3913,6.54421,6.4974,6.25577,1956.4,0,0,0,6000,0,0,0,215.205,2.36598,3.62952,2.77932,1732,1735,4095,4095,1732,1732,4095,2048,0,0,0,0
Thu Jul 31 23:50:08 2014,12.0465,12.0465,2295,2291,1.67772e+07,3.35544e+07,16,16,0.00131836,27.9092,-0.0496582,-0.070752,0.00131836,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,1.43047,0.594707,0.649909,0.721875,849.002,0,0,0,6000,0,0,0,98.35,0.873361,1.5207,1.05689,1747,1747,4095,4095,1747,1747,4095,2048,0,0,0,0
Thu Jul 31 23:50:09 2014,12.0181,12.0465,2292,2292,1.67772e+07,3.35544e+07,16,16,0.00131836,27.9092,-0.0496582,-0.070752,0.00131836,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,2.12887,0.939384,1.06588,1.07459,2030.6,0,0,0,6000,0,0,0,31.845,0.285719,0.740826,0.466468,1755,1755,4095,4095,1755,1755,4095,2048,0,0,0,0
Thu Jul 31 23:50:10 2014,12.0465,12.0465,2292,2291,5.03317e+07,3.35544e+07,16,16,0.00175781,27.9092,-0.0496582,-0.070752,0.00175781,27.9092,-0.0496582,-0.070752,0,0,0,0,0,0,0,0,-0,-0,-0,-0,2.19483,1.00337,1.10621,1.09853,2081.7,0,0,0,6000,0,0,0,27.4992,0.28002,0.696864,0.446005,1767,1767,4095,4095,1767,1768,4095,2048,0,0,0,0
Thu Jul 31 23:50:53 2014,12.0086,11.9802,2287,2280,1.67772e+07,3.35544e+07,5.03317e+07,3.35544e+07,0.00175781,27.9092,0.00131836,36.6231,0.00175781,27.9092,0.00131836,36.6231,0,0,0,0,0,0,0,0,-0,-0,-0,-0,15.7658,7.92885,9.45527,8.54202,2798.32,0,0,0,6000,0,6000,0,44.7616,3.24892,265.743,4.43073,1816,1816,4095,4095,1819,1816,4095,2048,0,0,0,0
Thu Jul 31 23:50:55 2014,12.0086,11.9802,2275,2268,5.03317e+07,3.35544e+07,1.67772e+07,3.35544e+07,0.00175781,27.9092,0.00131836,36.6231,0.00175781,27.9092,0.00131836,36.6231,0,0,0,0,0,0,0,0,-0,-0,-0,-0,15.1395,7.81587,8.84515,8.26305,4401.02,0,782.325,0,6000,0,6000,0,80.762,3.50337,252.934,4.65331,1855,1855,4095,4095,1855,1855,4095,2048,0,0,0,0
Thu Jul 31 23:50:56 2014,12.0086,11.9802,2275,2271,1.67772e+07,3.35544e+07,1.67772e+07,3.35544e+07,0.000878906,27.9092,0.00131836,36.6231,0.000878906,27.9092,0.00131836,36.6231,0,0,0,0,0,0,0,0,-0,-0,-0,-0,14.8043,7.70508,8.66014,8.12233,4450.52,0,812.852,0,6000,0,6000,0,82.1433,3.44462,246.961,4.56605,1871,1871,4095,4095,1871,1871,4095,2048,0,0,0,0
Thu Jul 31 23:50:57 2014,12.0086,11.9802,2275,2268,5.03317e+07,16,1.67772e+07,3.35544e+07,0.00175781,27.9088,0.00131836,36.6231,0.00175781,27.9088,0.00131836,36.6231,0,0,0,0,0,0,0,0,-0,-0,-0,-0,16.7742,8.43442,9.66234,8.81306,4507.94,0,843.789,0,6000,0,6000,0,83.7379,3.51887,252.272,4.66681,1880,1880,4095,4095,1880,1880,4095,2048,0,0,0,0
Thu Jul 31 23:50:58 2014,12.0086,11.9802,2272,2268,1.67772e+07,3.35544e+07,5.03317e+07,3.35544e+07,0.00131836,27.9092,0.00175781,36.6231,0.00131836,27.9092,0.00175781,36.6231,0,0,0,0,0,0,0,0,-0,-0,-0,-0,14.372,7.57435,8.47684,7.98159,4563.21,0,875.22,0,6000,0,6000,0,85.2421,3.49396,249.375,4.62922,1887,1887,4095,4095,1887,1887,4095,2048,0,0,0,0
Thu Jul 31 23:50:59 2014,12.0086,11.9802,2272,2268,5.03317e+07,3.35544e+07,1.67772e+07,3.35544e+07,0.000878906,27.9092,0.00131836,36.6231,0.000878906,27.9092,0.00131836,36.6231,0,0,0,0,0,0,0,0,-0,-0,-0,-0,15.3213,7.94952,8.9153,8.30639,4625.07,0,906.27,0,6000,0,6000,0,86.4224,3.43824,245.434,4.58425,1908,1908,4095,4095,1908,1908,4095,2048,0,0,0,0
